Store Name,Address,State,City,Pin Code,Timings,"Coordinates(Latitude,Longitude)",Phone Number
Raymond Made to Measure,"#18, Ground Floor, 3rd Cross Street, Kasturi bai Nagar, Adayar, Chennai - 600020",Tamil Nadu,Chennai,600020,11:00 AM TO 9:00 PM,"13.003704594558716,80.2516439830417","044-42632255, 9000489992"
Raymond Made to Measure,"Raymond Made To Measure, 218, First Floor, Dlf Promenade Mall, Nelson Mandela Marg, Vasant Kunj, Delhi",Delhi,Newdelhi,110070,11:00 AM TO 9:00 PM,"28.5425586,77.1563644","011-41606294, 9958899311"
Raymond Made to Measure,"Raymond Made To Measureshop No G3, Milroc Neurekar Pride Building, Panjim North, Goa-403001",Goa,Panjim,403001,11:00 AM TO 9:00 PM,"15.4988104,73.8277407",0832-2234111
Raymond Made to Measure,"Raymond Made To Measure, Park Avenue Store, Elante Mall, Chandigarh- 160002, Punjab",Chandigarh,Chandigarh,160002,11:00 AM TO 9:00 PM,"30.7051963,76.8014399",0172-4670140
Raymond Made to Measure,"Raymond Made To Measure, F-12A, First Floor -Phoenix Marketcity, Chennai, No. 142, Velachery Main Road, Velachery, Chennai -600042, Tamil Nadu.",Tamil Nadu,Chennai,600042,11:00 AM TO 9:00 PM,"12.9913026,80.2166199",044-30083625
Raymond Made to Measure,"Raymond Made To Measure, virtuous Retail Surat, Store No.",Gujarat,Surat,395007,11:00 AM TO 9:00 PM,"21.144431,72.7576703","0261-4133466, 9986900252"
Raymond Made to Measure,"Raymond Made To Measure, 14/2, Ground Floor, Daigonal Road, Elephant Rock Road, 3Rd Block, Jayanagar, Ward No. 15, Bangalore -560011, Karnataka",Karnataka,Bangalore,560011,11:00 AM TO 9:00 PM,"12.9351095,77.5814979",080-41217205
Raymond Made to Measure,"Raymond Made To Measuref 42, First Floor, Inorbit Mall Opp. Alembic School Near Gunjan Tower, Gorwa Road, 390023 Vadodara-390023",Gujarat,Baroda,390023,11:00 AM TO 9:00 PM,"22.3222523,73.1655496",0265-2299100
Raymond Made to Measure,"Raymond Made To Measure, T 22A, Third Floor, Palladium, High Street Phoenix, S.B. Marg, Lower Parel,Mumbai -400 013",Maharashtra,Mumbai,400013,11:00 AM TO 9:00 PM,"18.9940127,72.8241045",022-67439700
Raymond Made to Measure,"Raymond Made To Measure, Shop No.7, Door No. 40-1-154, N.T.S. No.78, M.G.Road, Labbipet, Vijayawada",Andhra Pradesh,Vijayawada,520010,11:00 AM TO 9:00 PM,"16.4979975,80.6534031","0866-6661299, 9845571769"
ColorPlus,"Colorplus Fashions Limited, Unit No. 108, Unitech Mall, Sector-38, New Okhla Industrial Development Area, Gautam Budh Nagar, Noida, Uttar Pradesh - 201301",Uttar Pradesh,Noida,201301,10:00 AM TO 10:00 PM,"28.57125389,77.32675736","0120-6492348, 9810574574"
ColorPlus,"Colorplus Fashions Ltd., Phoenix Marketcity, Mahadevpura, Nr. Krishnarajapuram Flyover, Bangalore-560048",Karnataka,Bangalore,560048,10:00 AM TO 10:00 PM,"12.99586325,77.69641387","080-67266144, 9844792728"
ColorPlus,"Colorplus Fashions Limited Shop No.118, Ground Floor, Dlf Promenade Mall, Dlf Place, Nelson Mandela Marg, Next To Dlf Emporio Vasant Vihar,New Delhi - 110057",Delhi,Newdelhi,110057,10:00 AM TO 10:00 PM,"28.5425899,77.1555486","011-46609057, 9871923231"
ColorPlus,"Colorplus Fashions Limited, Shop No. 414, 3rd Floor, Focus Mall, Rajaji-Mavoor Road Junction, Calicut, Kerala",Kerala,Calicut,673001,10:00 AM TO 10:00 PM,"11.25849736,75.78584009","0495-4013657, 9567974122"
Raymond Made to Measure,"Raymond Made To Measure,Shop No 6, Lower Ground Floor, Gvk One Mall, Hyderabad",Telangana,Hyderabad,500034,11:00 AM TO 9:00 PM,"17.4193665,78.4465546",040-67466554
Raymond Made to Measure,"Unit Nos. Ug-42, Upper Gr. Seawoods Grand Central, Nerul Rode, Navi Mumbai 400706",Maharashtra,Navi-Mumbai,400706,11:00 AM TO 9:00 PM,"19.0218844,73.0185706","022-39684224, 9819764022"
Raymond Made to Measure,"Raymond Made-To-Measure,142,Palladium,Near Gurunanak College,Velachery Main Road,Chennai-600042",Tamil Nadu,Chennai,600042,11:00 AM TO 9:00 PM,"12.9913026,80.2166199",-
Raymond Made to Measure,"Raymond Made To Measure, Shop Number S-122/Ff (1St Floor) Express Avenue Mall Near Club House Road ,Whites Road Royalpettah Chennai -600014, Tamilnadu",Tamil Nadu,Chennai,600014,11:00 AM TO 9:00 PM,"13.0584546,80.2641844",044-28464009
Raymond Made to Measure,"Raymond Made To Measure, Raymond Apparel Ltd  & Raymond Ltd, Ready To Wear & Mtm, Plot Number 20B, Ts 77-A, Waltair Main Road,Siripuram Junction, Opp To Hsbc Call Center, Vishakhapatnam- 530003.",Andhra Pradesh,Vizag,530020,11:00 AM TO 9:00 PM,"17.7152731,83.3021842","0891-6665522, 9986110628"
Raymond Made to Measure,"Raymond Made To Measure, Shop Nos. 8 & 9, Ground Floor & Basement, Golden Chamber, Link Road, Andheri (West), Mumbai",Maharashtra,Mumbai,400102,11:00 AM TO 9:00 PM,"19.1418961,72.834424",022-67423846
Raymond Made to Measure,"Raymond Made To Measure, Naidu Hall, Gandhi Nagar, 1St Main Road, Chennai, Tamil Nadu-600044",Tamil Nadu,Chennai,600044,11:00 AM TO 9:00 PM,"13.0843605,80.2221849","044-42645600, 9986110628"
Raymond Made to Measure,"Raymond Made To Measure,Ff 121, First Floor, Infinity Malad, Next To Goregaon Sports Complex, New Link Rd, Mindspace, Malad West, Mumbai, Maharashtra 400064",Maharashtra,Mumbai,400064,11:00 AM TO 9:00 PM,"19.1848469,72.8345642","022-67023533, 9833628274"
Raymond Made to Measure,"F-3, First flr, MTM-VR MaEgmore, Nungambakkam Chennai-600 040, TN",Tamil Nadu,Chennai,600040,11:00 AM TO 9:00 PM,"13.0549913,80.2462217",-
ColorPlus,"Shop-182, Nalini Apts. Cp Linking Road, Khar West",Maharashtra,Mumbai,400052,10:00 AM TO 10:00 PM,"19.0699506,72.8340244",022-26008699
ColorPlus,"Colorplus Fashions Ltd., No. 3, Apex Plaza, Nungambakkam High Road, Chennai-600034",Tamil Nadu,Chennai,600034,10:00 AM TO 10:00 PM,"13.05474395,80.24697898","044-45008515, 9600140613"
Raymond Made to Measure,"Raymond Made To Measure Shop,Jw Marriott Hotel, Juhu Tara Road, Mumbai 400049",Maharashtra,Mumbai,400049,11:00 AM TO 9:00 PM,"19.101944,72.8265052","022-62231346, 9819257564"
Raymond Made to Measure,"Raymond Made To Measure, Shop No. 4 & 5, Zainab Villa, 187 Turner Road, Bandra (W)-400050",Maharashtra,Mumbai,400050,11:00 AM TO 9:00 PM,"19.0545693,72.839884",022-26405821
ColorPlus,"Colorplus Fashions Limited 14-E, Connaught Place New Delhi - 110001",Delhi,Newdelhi,110001,10:00 AM TO 10:00 PM,"28.6327188,77.2214768","011-41517786, 9650506979"
Raymond Made to Measure,"Raymond Ready To Wear Store Lower Ground, Ground & First",Uttar Pradesh,Varanasi,221010,11:00 AM TO 9:00 PM,"25.3122148,82.9889213","0542-2221697, 9836911007"
Raymond Made to Measure,"Raymond Made To Measure Shop No 2B, Upper Ground Floor, Mezzanine Floor And First Floor, H. No. 8-2-120/84, Jyothi Majestic, Banjara Hills, Hyderabad",Telangana,Hyderabad,500073,11:00 AM TO 9:00 PM,"17.4251221,78.432645","040-42767667, 7416352901"
Raymond Made to Measure,"Raymond Made To Measure, Ground Floor, Delphi Building, Hiranandani Garden, Powai, Mumbai 400 076.",Maharashtra,Mumbai,400076,11:00 AM TO 9:00 PM,"19.1204404,72.9092998",022-61271018
Raymond Made to Measure,"Raymond Ready To Wear Store Upper Ground And Ground Floor, 17/33, Tashkand Marg, Civil Lines, Allahabad 211001",Uttar Pradesh,Allahabad,211001,11:00 AM TO 9:00 PM,"25.4550313,81.834961",0532-2261777
ColorPlus,"No.15 & 16, New Bel Road, 6Th Main, Chikkamaranahalli, Bangalore 560094",Karnataka,Bangalore,560054,10:00 AM TO 10:00 PM,"13.0347438,77.5561729",080-42008450
ColorPlus,"RAL-CP-Shop, Seaport airpot, KOCHI-682 021, Kerala",Kerala,Kochi,682021,10:30 AM TO 8:30 PM,"10.0013925,76.3495884",9847341080
The Raymond Shop,"Shop No. 33& 34, Tangent, Sarghasan Cross Roads, Gandhinagar-380 058, Gujarat",Gujarat,Gandhinagar,380058,10:30 AM TO 8:30 PM,"23.0363228,72.5159173",-
The Raymond Shop,"Dosti Imperia, Manpada, Ghodbunder Road, Thane - 400607, Maharashtra",Maharashtra,Thane,406607,10:30 AM TO 8:30 PM,"19.23040276,72.974262",-
The Raymond Shop,"Main Bazar, Near Mangala chowk, Dalsinghsarai, Dist. Samastipur-848 114, Bihar",Bihar,Samastipur,848114,10:30 AM TO 8:30 PM,"25.6673026,85.8340764",-
Raymond Made to Measure,"Raymond Made-To-Measure,No. 117 & 117/1, D. Devraj Urs Road,Road, Mysore- 570001 Karnataka",Karnataka,Mysore,570001,11:00 AM TO 9:00 PM,"12.3095504,76.6443912",-
The Raymond Shop,Shop,Rajasthan,Kota,324005,10:30 AM TO 8:30 PM,-,-
Raymond Made to Measure,"Raymond Made-To-Measure,Ug 19 & 20, Ground Floor, City Centre Mall, K.S. Rao Road, Hampanakatta, Mangalore-575001",Karnataka,Mangalore,575001,11:00 AM TO 9:00 PM,"12.8708975,74.8393176",0824-4262533
Raymond Made to Measure,"Raymond Made To Measure,Shop No. 47, Rajpur Road, New No. 224/395,Next To Syndicate Bank ,Dehradun",Uttrakhand,Dehradun,248001,11:00 AM TO 9:00 PM,"30.3574638,78.0667287",0135-2659816
ColorPlus,"Colorplus Fashions Ltd., 7/1-A, Dr. U.N. Brahmachari Street, Kolkata-700017",West Bengal,Kolkata,700017,10:00 AM TO 10:00 PM,"22.54509938,88.35656223","033-40065758, 9831718020"
The Raymond Shop,"Altrix Complex, Near Komala Dosa World & Kunnamkulam - 680503, Kerala",Kerala,Kunnamkulam,680503,10:30 AM TO 8:30 PM,"10.659258,76.0714495",-
The Raymond Shop,"G1,G2, Radhasaomi Sayujya,V. V.Nagar Road, Vallabh, Anand-388 120, GJ",Gujarat,Anand,388120,10:30 AM TO 8:30 PM,"22.5482008,72.9406658",-
ColorPlus,"Colorplus Fashions Ltd., Pee Jay Enterprises-Iii, Gb-05, Crown Plaza Mall, Sector-15A, Faridabad-121007",Haryana,Faridabad,121007,10:00 AM TO 10:00 PM,"28.39801664,77.31281523","0129-4008046, 9811018602"
ColorPlus,"Colorplus Fashions Ltd Lulu International Shopping Mall First Floor, N0.50/2392, Edappally, Cochin-682024",Kerala,Kochi,683024,10:00 AM TO 10:00 PM,"10.0272846,76.3079082","0484-4030909, 9843901115"
ColorPlus,"28-A,Subramanian Bharathi Marg Khan Market New Delhi - 110003",Delhi,Newdelhi,110003,10:00 AM TO 10:00 PM,"28.6015414,77.228979","011 - 45652601, 9911396396"
Raymond Made to Measure,"Raymond Made-To-Measure,Ground Floor Shop No G1,Jp Square, Plot No 1068,Law Collage Sq Nagpur 440010",Maharashtra,Nagpur,440010,11:00 AM TO 9:00 PM,"21.1464049,79.0621443",-
Raymond Made to Measure,"Ug 59, Upper Ground Floor, Mantri Square,No.1, Sampige Road, Malleswaram, Bangalore-560003",Karnataka,Bangalore,560003,11:00 AM TO 9:00 PM,"12.9916302,77.5711719",-
Raymond Made to Measure,"Raymond Made-To-Measure,The Forum Vijaya Mall,Unit No.025, Upper Ground Flr,Arcot Road, Vadapalani,Chennai-600026",Tamil Nadu,Chennai,600026,11:00 AM TO 9:00 PM,"13.0498937,80.2095018",-
Raymond Made to Measure,"UG-060,1F-060, Saraths City, Gachibowli-Miyapur Rd, Hyderabad-500 084,TELANGANA",Telangana,Hyderabad,500084,10:30 AM TO 8:30 PM,"17.4575952,78.3639493",-
ColorPlus,"Colorplus Fashions Ltd Shop , 32 Jagat Bannerjee Ghat Road, Shop No-48, Avani Riverside, Howrah, Kolkata, West Bengal",West Bengal,Howrah,111002,10:00 AM TO 10:00 PM,"22.56319481,88.32150939","033-26785200, 9163847279"
Raymond Made to Measure,"H. No. 1-B, Narbheram House, Bistupur Main Road, Jamshedpur - 831 001, JH",Jharkhand,Jamshedpur,831001,11:00 AM TO 9:00 PM,"22.7975499,86.181769",-
Raymond Made to Measure,"Raymond Made-To-Measure,G-010, Prozone Mall, At Old Sivanandha Mills, Sivanandhapuram, Sathy Road, Coimbatore-641035",Tamil Nadu,Coimbatore,641035,11:00 AM TO 9:00 PM,"11.0553082,76.9940345",-
Raymond Made to Measure,"Ground & Mezzannie floor, Bldg no.13, N. S. Patker Kemps Corner, Mumbai -400 007 MH",Maharashtra,Mumbai,400007,11:00 AM TO 9:00 PM,"18.9631834,72.8175672",-
Raymond Made to Measure,"Raymond Made To Measure, Unit No: Gf - 66, Ground Floor,Viviana Mall, Voltas Compound, Pokhran Road No 2, Subhash Nagar, Next To Jupiter Hospital,Thane (West) - 400606",Maharashtra,Thane,400606,11:00 AM TO 9:00 PM,"19.2087175,72.9715119",022-61701383
ColorPlus,Treasure Island Bhilai,Chattisgarh,Bhilai,490020,10:00 AM TO 10:00 PM,"21.21828855,81.32048995",0788-4012515
Raymond Made to Measure,"Raymond Made-To-Measure,Ground Floor: Gf - 23 Mall Of Travancore (Mot),Chakai-Enchakkal Bypass Road, Chakai, Trivandrum,Thiruvananthapuram",Kerala,Thiruvanathapuram,659024,11:00 AM TO 9:00 PM,"8.4874168,76.9267424",-
Raymond Made to Measure,"Raymond Made To Measure,Rtw-Pacific Mall-Dehradun,Opposite Scholars Home School,Kishanpur,Dehradun-248006,Uttarakhand",Uttrakhand,Dehradun,248006,11:00 AM TO 9:00 PM,"30.3663965,78.0703402",0135-2738892
Raymond Made to Measure,"Raymond Made-To-Measure,G-23 Ground Floor Db City Mall, Opp Mp Nagar On Khasra 1511 & 1509, Arera Hills, Bhopal, Madhya Pradesh -462011",Madhya Pradesh,Bhopal,462011,11:00 AM TO 9:00 PM,"23.2326024,77.4299282",-
Raymond Made to Measure,"Raymond Made To Measure,18/2, Vm Road, Bangalore",Karnataka,Bangalore,560 001,11:00 AM TO 9:00 PM,"12.9709213,77.5988947","080-41741100, 9986110628"
The Raymond Shop,"Shop No G-B-2, Dwarka Plazza, Opp Sbi Bank, Dwaraka Nagr, Vishakhapatnam-530 016, Ap",Andhra Pradesh,Vishakhapattanam,530016,10:30 AM TO 8:30 PM,"17.7294211,83.3014319",-
ColorPlus,"Rainbow creation, 15/B, Mah, Chamunda Circle, MUMBAI-400092, Maharashtra",Maharashtra,Mumbai,400092,10.30 AM TO 9.30 PM,"19.235251025029108,72.85302346494932","022-28955290, 9820184321"
The Raymond Shop,"431 Gupta House, Chakinaya Main Road, Bhadohi-221 401, Up",Uttar Pradesh,Bhadohi,221401,10:30 AM TO 8:30 PM,"25.4007837,82.5680033",-
Raymond Made to Measure,"Unit No.5&6, Ground Floor, Db Mall, Gwalior Race Course, Gwalior-474001 Mp",Madhya Pradesh,Gwalior,474001,11:00 AM TO 9:00 PM,"26.1748905,78.1450412",-
Raymond Ceremonial,"Ground & Mezzannie floor N.S Patker Marg, Kemps Corner MUMBAI - 400 006, MH",Maharashtra,Mumbai,400006,10.30 AM TO 9.30 PM,"18.9540855,72.8004477",-
ColorPlus,"Colorplus Fashions Limited, Sco-370, Sector-8, Panchkula, Haryana - 134109",Haryana,Panchkula,134109,10:00 AM TO 10:00 PM,"30.69899325,76.84907958","0172-5011157, 9041227875"
The Raymond Shop,"Gr.Floor, H.No.205000593, Bagaha Bazar, West Champaran-845 101, Bihar",Bihar,West Champaran,845101,10:30 AM TO 8:30 PM,"27.0937772,84.0933652",-
ColorPlus,"Colorplus Fashions Ltd., C08, Ambattur Industrial Estate, Chennai-600058",Tamil Nadu,Chennai,600058,10:00 AM TO 10:00 PM,"13.09467371,80.17115159",044-42189298
The Raymond Shop,"Main Road, Warud, District-Amravati-444 906 MH",Maharashtra,Amravati,444906,10:30 AM TO 8:30 PM,"21.4698113,78.2687687",-
ColorPlus,"Colorplus Fashion Ltd, 1St Floor, Shop No- 125, Forum Sujana Mall, Kukkatpally, Hyderabad, Telangana- 500072",Telangana,Hyderabad,570001,10:00 AM TO 10:00 PM,"17.4843261,78.388836",040-30534080
The Raymond Shop,"78, Villanur Main Road,  Azis Nagar, Reddiarpalaya, Puducherry-605005,",Pondicherry,Pondicherry,605005,10:30 AM TO 8:30 PM,"11.9313005,79.8001734",-
ColorPlus,"COLOR PLUSFASHIONS LTD, SHOP NO:113, 164/1, MANIKTALA MAINROAD, KOLKATA-700054",West Bengal,Kolkata,700054,10:00 AM TO 10:00 PM,"22.57761215,88.40092342","033-40603195, 9163918393"
ColorPlus,"Solar Creations Pvt Ltd., No.- 11, Cusrow Baug, Colaba, Mumbai - 400001",Maharashtra,Mumbai,400001,10:00 AM TO 10:00 PM,"18.92011468,72.82989961",9122-22841821
Raymond Made to Measure,"Raymond Made-To-Measure,Gf 07, Ground Floor, Mbm Farm, Gt Road, Amritsar143001",Punjab,Amritsar,143001,11:00 AM TO 9:00 PM,"31.6346767,74.8694261",-
Raymond Made to Measure,"Raymond Ready To Wear,Saroj Rock Fort Complex, B 31, Shastri Road, Thillai Nagar, Trichy-620018",Tamil Nadu,Tiruchirapalli,620002,11:00 AM TO 9:00 PM,"10.8226484,78.6852037","0431-4216661, 9986110628"
ColorPlus,"The Attire, Shop No-110-A, 1St Floor, Fountain Chowk, Ludhiyana-141001,",Punjab,Ludhiana,141001,10:00 AM TO 10:00 PM,"30.9138832,75.8402404","0161-4640050, 9872877770"
The Raymond Shop,"49, Tagore Marg, Neemuch-458 441, Madhya Pradesh",Madhya Pradesh,Neemuch,458441,10:30 AM TO 8:30 PM,"24.4593747,74.8681737",-
ColorPlus,"M247, Ashok Nagar, Opp.-TRI UDAIPUR-313001, Rajasthan UDAIPUR",Rajasthan,Udaipur,313001,10:00 AM TO 10:00 PM,"24.58706314,73.70956099",9610004051
ColorPlus,"Colorplus Fashions Ltd., Viviana City Mall, Pokhran Road No-2, Subhash Nagar, Next To Jupiter Hospital,Thane (West)-400610",Maharashtra,Thane,400610,10:00 AM TO 10:00 PM,"19.20896299,72.97174943","022-61701391, 9702129142"
ColorPlus,"32, Hazratganj, Lucknow, UP-226001",Uttar Pradesh,Lucknow,226001,10:00 AM TO 10:00 PM,"26.84099923,80.95070627","0522-4082515, 9810975751"
ColorPlus,"Colorplus Fashions Ltd., Offbeat Developers Pvt. ltd., Kurla Market City, Naaz Hotel, L.B.S.Marg, Kurla(W), Old Mukund Factory, Near Kamani Junction, Opp. Mumbai-400070",Maharashtra,Mumbai,400070,10:00 AM TO 10:00 PM,"19.08618463,72.8892997","022-66981309, 9820759521"
ColorPlus,"Colorplus Fashions Limited Shop No Ub2, Ground Floor, Jawahar Nagar, Bungalow Road,New Delhi - 110007",Delhi,Newdelhi,110007,10:00 AM TO 10:00 PM,"28.682356,77.206604","011-47015516, 9811567832"
ColorPlus,"Colorplus Fashions Limited, Citi Centre Mall, B-007, Dc Block, Salt Lake, Sector-1, Kolkata, West Bengal - 700064",West Bengal,Kolkata,700064,10:00 AM TO 10:00 PM,"22.58802476,88.40518485","033-40065757, 9830307125"
ColorPlus,"Color Plus, Peanuts Retail Pvt Ltd, Shop No A017, City Centre Mall, Uttorayan, Matigara, West Bengal, Siliguri-734010",West Bengal,Siliguri,734010,10:00 AM TO 10:00 PM,"26.72427097,88.39472529","0353 -2777843, 9800866703"
ColorPlus,"Colorplus Fashions Ltd Plot No.Vc-3, Sector-3, Vaishali, Unit 121, 1St Fl, The Mahagun Metro Mall Ghaziabad Uttar Pradesh",Uttar Pradesh,Ghaziabad,201012,10:00 AM TO 10:00 PM,"28.6447946,77.3355371","0120-4214384, 9717215509"
Formal,"Shop No.4, Shilpa CHS, Som Manish Nagar, Nagpur - 440 005, MH",Maharashtra,Nagpur,440005,10:30 AM TO 8:30 PM,"21.0938434,79.0750138",-
ColorPlus,"Shop. 20, Gr Floor R Gandhi Teck Park, Dlf City Center Mall, Chandigarh - 160101",Chandigarh,Chandigarh,160101,10:00 AM TO 10:00 PM,"30.7288586,76.8454261","0172-4016751, 9914834848"
ColorPlus,"Colorplus Fashions Ltd Shop No 2298/3, Sector 14,Old Delhi Gurgaon Road, Opp. Sector -14, Hudda Market, Gurgaon, Haryana-122001",Haryana,Gurgaon,122001,10:00 AM TO 10:00 PM,"28.5223395,77.0825978",0124-4270303
ColorPlus,"One Awadh Mall, Plot No. - Vibhuti Khand, Gomti Nagar, Lucknow - 226010, UP",Uttar Pradesh,Lucknow,226010,10:00 AM TO 10:00 PM,"26.86262397,81.01048411",0522 - 4958879
ColorPlus,"Colorplus Fashions Limited, F-57, First Floor, R-City Mall, L.B.S. Marg, Ghatkopar(W), Mumbai, Maharashtra - 400086",Maharashtra,Mumbai,400086,10:00 AM TO 10:00 PM,"19.09962563,72.91638228","022-66977891, 9920668184"
Raymond Made to Measure,"Raymond Made To Measure Shop, Hg 27, Westend Mall, S No 169/1, Cts No. 2495, Dp Road, Sector 1, Aundh, Pune 411007",Maharashtra,Pune,411007,11:00 AM TO 9:00 PM,"18.5616348,73.8070305","020-27207416, 9986900252"
ColorPlus,"Color Plus Fashions Ltd, Color Plus # 8-2-120/86/9/3, Road No.- 2, Banjara Hills, Landmark - Next To Diesel Store & Opp. To Hayat Hotel, Hyderabad- 500034",Telangana,Hyderabad,500034,10:00 AM TO 10:00 PM,"17.42528972,78.43262788",040-40077159
ColorPlus,"Hind Vastra Bhandar, Shop no.: 1, 2, Shree Mohini Complex, Kingsway, Station Road, Nagpur - 440001",Maharashtra,Nagpur,440001,10:00 AM TO 10:00 PM,"21.14930538,79.08018348","0712-2558034, 9923682001"
ColorPlus,"Shop No:13, Phoenix United, Bareilly  - 243002, UP",Uttar Pradesh,Bareilly,243002,10:00 AM TO 10:00 PM,"28.39483199,79.45643215",0581-2583308
The Raymond Shop,"BESIDE HOTEL PAWAN, NEHRU ROAD, SHIVAMOGGA-577 201, KT",Karnataka,Shimoga,577201,10:30 AM TO 8:30 PM,"13.9344262,75.5725396",-
ColorPlus,"Solar Creations Pvt. Ltd., Shop No.: 18, 19, 20, 21 & 44, Ground Floor, Topiwala Building, Dr. Ambedkar Road, Mumbai-400012",Maharashtra,Mumbai,400012,10:00 AM TO 10:00 PM,"18.99721093,72.83765395","9122-24100281, 9892844035"
The Raymond Shop,Shop,Rajasthan,Jhotwada,302012,10:30 AM TO 8:30 PM,-,-
ColorPlus,"Colorplus Fashions Ltd., No-6, Narottam Niwas, Opp. Gandhi Market, Sion Main Road, Sion, Mumbai-400022",Maharashtra,Mumbai,400022,10:00 AM TO 10:00 PM,"19.03752607,72.86192339","022-65659006, 9702673446"
The Raymond Shop,"CHIKHALWADI CORNER, GURUD OPP-ORIENTAL BANK, NANDED-431 601, MH",Maharashtra,Nanded,431601,10:30 AM TO 8:30 PM,"19.1678399,77.3266991",-
The Raymond Shop,"Mall Building No 341G, S/At Sadar Bazar, Jhansi-284 001 Uttar Pradesh",Uttar Pradesh,Jhansi,284001,10:30 AM TO 8:30 PM,"25.4390968,78.5816988",-
ColorPlus,"Yagnik Road, Race Course Circle, Nath Edifice Ground Floor, Jilla Panchayat Chowk, Race Course Circle, Rajkot - 360001",Gujarat,Rajkot,360001,10:00 AM TO 10:00 PM,"22.29817505,70.79102578","0281-2472254, 9824222254"
ColorPlus,"396/397, Jain Estate, Ground Floor, Opp. To Nanking Restaurant, Park Lane, Secunderabad-500003",Telangana,Secunderabad,500003,10:00 AM TO 10:00 PM,"17.44257183,78.49015542",040-40119902
The Raymond Shop,"Gr Fl, H/O Vijay Kumar Kes, Main Road, GARHWA - 822114, JHARKHAND",Jharkhand,Garhwa,822114,10:30 AM TO 8:30 PM,"24.1548982,83.7995617",-
Raymond Made to Measure,"Opp. Yes Bank, C.G Road, Gf-Ff/1, Shree Ahmedabad - 380 006, Gj",Gujarat,Ahmedabad,380006,11:00 AM TO 9:00 PM,"23.0346734,72.5602746",-
ColorPlus,"Ramchander & Sons, S.C.O.41, Sector 17-E, Chandigarh - 160017",Chandigarh,Chandigarh,160017,10:00 AM TO 10:00 PM,"30.73825873,76.78303375","0172-5002077, 8289079742"
The Raymond Shop,"Shop No G16 & G17,",Madhya Pradesh,Khargone,451001,10:30 AM TO 8:30 PM,"21.9289386,75.5742467",-
ColorPlus,"Colorplus Fashions Ltd, No.32-33, Gold Field Plaza, 164, Sasoon Road, Pune-411001",Maharashtra,Pune,411001,10:00 AM TO 10:00 PM,"18.53404746,73.87852413","9120-26163388, 9028993828"
The Raymond Shop,"342/287/A Malancha Rd, Opp.Fashion World, P.O.-Kh Paschim Medinipur-721 301 Wb",West Bengal,Mednapur,721301,10:30 AM TO 8:30 PM,-,-
ColorPlus,"No-337, 8Th Main Road, 3Rd Stage, 4Th Block Basaveshwara Nagar, Bangalore 560 079",Karnataka,Bangalore,560079,10:00 AM TO 10:00 PM,"12.9914814,77.5380903","080 - 41323030, 9742433389"
The Raymond Shop,"Plot-No-40-1-148.163, opp-near Hotel Forunte, Mural VIJAYWADA-520 010, AP",Andhra Pradesh,Vijayawada,520010,10:30 AM TO 8:30 PM,"16.5012476,80.6459265",-
